,Airport_code,Airport_name,Airport_address,Airport_description
241,cts,New Chitose Airport,Sapporo Japan,"Opened in 1991, New Chitose Airport replaced the original Chitose Airport. It serves the Sapporo area and at first had the three-letter code of SPK. Its current code comes from its name and the nearby city of Chitose."
242,ctu,Chengdu Shuangliu International Airport,Chengdu China,Shuangliu Airport opened in 1938 as a supplementary airfield during World War II and is now one of the busiest airports in China. Its airport code is derived from the city’s former English name: Chengtu.
243,cul,Aeropuerto Internacional Federal de Bachigualato,Culiacán SI Mexico,"Often called Culiacán Airport, Bachigualato Federal International is named after Bachigualato, the neighborhood where it’s located. Its airport code comes from Culiacán, the city it serves."
244,cun,Aeropuerto Internacional de Cancún,Cancún QR Mexico,"Cancún International is Mexico’s second busiest airport, but serves the most international traffic. Its three-letter code comes from the city of Cancún."
245,cuz,Aeropuerto Internacional Alejandro Velasco Astete,Cusco Peru,"Alejandro Velasco Astete International is named after the Peruvian pilot first to cross the Andes in 1925. It serves the city of Cusco, often spelled Cuzco."
246,cvf,Altiport de Courchevel,Courchevel France,"Courchevel Altiport (a term used to describe mountainous aerodomes in the French Alps) serves Courchevel ski resort. Its three-letter code comes from Courchevel, France."
247,cvg,Cincinnati/Northern Kentucky International Airport,Hebron KY USA,"Serving the greater Cincinnati metro area, Cincinnati/Northern Kentucky’s airport code comes from the nearby city of Covington."
248,cvu,Aeródromo de Corvo,Vila do Corvo Azores Portugal,"Opened in 2005, Corvo Airport is located in Vila do Corvo on the island of Corvo. The letter ‘U’ is a phonetic replacement for the ‘O’ in Corvo."
249,cwb,Aeroporto Internacional de Curitiba - Afonso Pena,Curitiba PR Brazil,"Built in 1944 for the Brazilian Air Force, Afonso Pena International is named after Brazil’s 6th president. With the codes CUR and CUB already taken, Curitiba subbed a ‘W’ for the ‘U’."
250,cwl,Maes Awyr Caerdydd,Cardiff UK,"Started as a satellite aerodrome during World War II, Cardiff Airport gets its airport code from its home in Cardiff, Wales."
251,cxr,Sân bay Quốc tế Cam Ranh,Khanh Hoa Vietnam,"Originally built by the U.S. Navy during the Vietnam War, Cam Ranh International serves Khanh Hoa but is located on Cam Ranh Bay. Its code is completed by an ‘X’, often used as a filler letter."
252,dab,Daytona Beach International Airport,Daytona Beach FL USA,"Started in 1930 as Sholtz Field, Daytona Beach International evolved from an uncommonly successful beach airport. Located next to Daytona International Speedway, it serves the city of Daytona Beach."
253,dac,Hazrat Shahjalal International Airport,Dhaka Bangladesh,"In 2010, Hazrat Shahjalal International was renamed to honor the Sufi saint Shah Jalal. Its airport code comes from a former spelling for the city of Dhaka: Dacca."
254,dad,Sân bay Quốc tế Đà Nẵng,Da Nang Vietnam,"Da Nang International is located in Da Nang, the largest city in central Vietnam. Its code’s last letter likely comes from Quang Nam-Đa Nang, the province Da Nang belonged to before becoming an independent municipality in 1997."
255,dal,Dallas Love Field,Dallas TX USA,"Founded and named in 1917, Love Field honors U.S. Army pilot Moss L. Love. Its airport code honors its home in the city of Dallas."
256,dam,Damascus International Airport,Damascus Syria,"Inaugurated in the 1970s, Damascus International get its airport code from its home in the capital city of Damascus."
257,dar,Julius Nyerere International Airport,Dar es Salaam Tanzania,"Renamed in 2006, Julius Nyerere International honors Tanzania’s first president. It was previously named Dar es Salaam International after its home city."
258,day,James M. Cox Dayton International Airport,Dayton OH USA,"In 1952, Dayton Municipal was renamed to honor James M. Cox, former governor of Ohio. Its airport code honors its home in Dayton."
259,dbq,Dubuque Regional Airport,Dubuque IA USA,Dubuque Regional features two runways and serves as a general aviation and commercial airport. Its three-letter code comes from its home city of Dubuque.
260,dbv,Zračna luka Dubrovnik/Čilipi,Dubrovnik Croatia,"Opened in 1962, Dubrovnik Airport is located in the village of Čilipi and serves the city of Dubrovnik."
261,dca,Ronald Reagan Washington National Airport,Washington D.C. VA USA,"In 1998, Washington National Airport was renamed to honor former U.S. President Ronald Reagan. Its airport code honors its home in District of Columbia."
262,deb,Debreceni Nemzetközi Repülőtér,Debrecen Hungary,"Originally opened in the 1930s, Debrecen International gets its airport code from its home in the city of Debrecen."
263,ded,Jolly Grant International Airport,Dehradun UK India,Dehradun International is located 25km from Dehradun. It’s also known as the Air Gateway of Garhwal and is important for tourism in Uttarakhand.
264,del,Indira Gandhi International Airport,New Delhi DL India,"Previously known as Palam Aiport, Indira Gandhi International was renamed in 1986 to honor the former Indian prime minister. Its airport code honors its home in Delhi."
265,den,Denver International Airport,Denver CO USA,"Until 1995, Stapleton International Airport served the Denver area with airport code DEN. When Stapleton closed, the new airport switched from DVX to DEN."
266,det,Coleman A. Young International Airport,Detroit MI USA,"Formerly Detroit City Airport, Coleman A. Young International is named after Coleman Young who served as mayor from 1974 to 1994. Its three-letter code honors the city of Detroit."
267,dfw,Dallas/Fort Worth International Airport,Dallas–Fort Worth TX USA,"For decades Dallas and Fort Worth ran competing airports, but in 1969 construction finally began on a joint airport to serve the Dallas-Fort Worth area."
268,dil,Aeroporto Internacional Presidente Nicolau Lobato,Dili East Timor,Presidente Nicolau Lobato International is named after East-Timorese national hero Nicolau dos Reis Lobato. Its three-letter airport code comes from the capital city of Dili.
269,din,Sân bay Điện Biên Phủ,Dien Bien Phu Vietnam,"Dien Bien Phu Airport gets its three-letter code from its home in the city of Dien Bien Phu, Vietnam."
270,dkr,Léopold Sédar Senghor International Airport,Dakar Senegal,"Formerly known as Dakar Yoff Airport, Léopold Sédar Senghor International is now named after the first President of Senegal. Located in Yoff, it serves the capital city of Dakar."
271,dla,Aéroport International de Douala,Douala Cameroon,Douala International is the busiest airport in Cameroon. Its three-letter code comes from its home in the city of Douala.
272,dlc,Dalian Zhoushuizi International Airport,Dalian China,"Dalian Zhoushuizi International is located in Liaoning Province and serves the city of Dalian, China."
273,dlh,Duluth International Airport,Duluth MN USA,"Opened in 1930 as Williamson–Johnson Municipal, Duluth International was renamed in 1961. Its airport code comes from its home in the city of Duluth."
274,dli,Lien Khuong Airport,Dalat Vietnam,"Located in Đức Trọng District, Lien Khuong Airport is the largest of four airports in the Central Highlands region. Its code comes from Dalat International."
275,dme,Domodedovo International Airport,Moscow Russia,"Officially opened in 1965, Russia’s busiest airport serves the capital city of Moscow. It is actually located in the nearby town of Domodedovo."
276,dmk,Don Mueang International Airport,Bangkok Thailand,"Originally Bangkok International, Don Mueang Airport was renamed when Suvarnabhumi Airport opened in 2006. It gave up its BKK code and received a new one derived from Don Mueang and carrying over the ‘K’ from the old code."
277,dmm,King Fahd International Airport,Dammam Saudi Arabia,"Opened in 1999, King Fahd International is the world’s largest airport by land area. Its airport code honors its home in the city of Dammam."
278,dnd,Port-adhair Dhùn Dèagh,Dundee UK,"Opened in 1963, Dundee Airport gets its airport code from Dundee, Scotland’s fourth largest city."
279,dnk,Dnipropetrovsk International Airport,Dnipropetrovsk Ukraine,"Opened in 1943, Dnipropetrovsk International Airport is located 15 km southeast from the center of the city which gave it the name and the code - Dnipropetrovsk."
280,dnr,Aéroport de Dinard–Pleurtuit–Saint-Malo,Saint-Malo France,"Dinard–Pleurtuit–Saint-Malo Airport serves the city of Saint-Malo, but gets its three-letter airport code from the nearby commune of Dinard."
281,doh,Hamad International Airport,Doha Qatar,"Often called “New Doha Airport,” Hamad International opened in May of 2014, replacing Doha International Airport as the primary airport for Qatar’s capital city."
282,dom,Douglas–Charles Airport,Marigot Dominica,"Formerly named Melville Hall, Douglas–Charles Airport was renamed in 2014 to honor former Prime Ministers Rosie Douglas and Pierre Charles. It is the primary airport in Dominica."
283,dps,Bandar Udara Internasional Ngurah Rai,Denpasar Indonesia,"Ngurah Rai International serves the tourist destination of Bali and is named for I Gusti Ngurah Rai, national hero of Indonesia. Its airport code comes from Denpasar, the capital of the island."
284,drw,Darwin International Airport,Darwn NT Australia,"In 1945, Darwin Airport began serving non-military passengers and currently still shares a runway with RAAF Base Darwin. The airport is named after its city which honors famous naturalist Charles Darwin."
285,dsa,Robin Hood Airport Doncaster Sheffield,Finningley UK,"Robin Hood Airport is named after the legendary outlaw of English folklore. Its airport code comes from the rest of its name, Doncaster Sheffield Airport."
286,dsm,Des Moines International Airport,Des Moines IA USA,Des Moines Airport was renamed “International” in 1986 to promote the presence of the U.S. Customs Service at the airport. Its airport code honors its home in the city of Des Moines.
287,dtm,Flughafen Dortmund,Dortmund Germany,"Initially located in the suburb of Brackel, the airport serving the eastern Rhine-Ruhr area was moved to the city of Dortmund after World War II."
288,dtn,Shreveport Downtown Airport,Shreveport LA USA,Shreveport Downtown Airport serves the city of Shreveport along with Shreveport Regional (SHV). Its airport code comes from its close proximty to the city’s downtown.
289,dtw,Detroit Metropolitan Wayne County Airport,Detroit MI USA,"During World War II Detroit’s airport was known as Romulus Field, but in 1947 it was renamed to Detroit-Wayne Major Airport."
290,dub,Aerfort Bhaile Átha Cliath,Dublin Ireland,"Opened in 1940, Ireland’s busiest airport is located in its capital city of Dublin."
291,dud,Dunedin International Airport,Dunedin New Zealand,"Built in 1962, Dunedin International is colloquially known as Momona Airport. It is known for its “Southern Man” sculpture, reputed to bring good luck to travelers."
292,dus,Flughafen Düsseldorf,Düsseldorf Germany,"In 1998, Rhine Ruhr Airport was renamed to Düsseldorf International, but dropped the ‘International’ in 2013."
293,dvo,Paliparang Pandaigdig ng Francisco Bangoy,Davao City Philippines,Francisco Bangoy International is named after Francisco Bangoy who donated the land on which the airport sits. Its airport code comes from its home in Davao City.
294,dwc,Al Maktoum International Airport,Dubai United Arab Emirates,"Opened in 2010, Al Maktoum International is named after Sheikh Maktoum, former Prime Minister of the UAE. It is part of Dubai World Central, a residential and commercial complex."
295,dxb,Dubai International Airport,Dubai United Arab Emirates,"When Dubai International opened in 1960, the airport code DUB was already in use by Dublin, Ireland. Dubai subbed an ‘X’ for the U, making its unique airport code of DXB."
296,dxr,Danbury Municipal Airport,Danbury CT USA,"Opened in 1930, Danbury Municipal is a two-runway airport in Connecticut. Its airport code comes from Danbury, with an added ‘X’ as a filler letter once codes switched from two letters to three."
297,dyu,Dushanbe International Airport,Dushanbe Tajikistan,"Built in 1924, Dushanbe International was the first airport in Tajikistan. Until 1929, the city of Dushanbe was known in Russian as Dyushambe, explaining its three-letter code of DYU."
298,dza,Aéroport de Dzaoudzi-Pamandzi,Dzaoudzi Mayotte France,"Dzaoudzi-Pamandzi International is the only airport in Mayotte, located on the island of Pamanzi and serving the commune of Dzaoudzi."
299,eas,Aeropuerto de San Sebastián,San Sebastián Spain,"San Sebastián Airport is actually located in the municipality of Hondarribia, but gets its three-letter code from the city of San Sebastián."
300,eat,Pangborn Memorial Airport,Wenatchee WA USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. Pangborn Memorial, located in the city of Wenatchee, opted for other letters to form EAT."
301,ebb,Entebbe International Airport,Entebbe Uganda,"Constructed in the late 1920s, Entebbe International is the primary international airport in Uganda. It serves the cities of Entebbe and Kampala."
302,ebl,Erbil International Airport,Erbil Iraq,"Featuring the tenth longest runway in the world, Erbil International opened its doors in 2010 next door to the original Erbil airport, built during the 1970s."
303,ecp,Northwest Florida Beaches International Airport,Panama City FL USA,"Originally the airport wanted the three-letter code TFB for “The Florida Beaches”, but it was already taken. When going through a list of available codes, the selection group joked ECP could stand for “Everyone Can Party” and it stuck."
304,edi,Port-adhair Dhùn Èideann,Edinburgh UK,"Previously the location for Turnhouse Aerodrome and RAF Turnhouse airfield, Scotland’s busiest airport is located in the city of Edinburgh."
305,egc,Aéroport de Bergerac Dordogne Périgord,Bergerac France,"EGC is located south-southeast of Bergerac, a commune of the Dordogne department (formerly the Périgord province) in the Aquitaine region of France."
306,ege,Eagle County Regional Airport,Eagle CO USA,"Eagle County Regional is sometimes called Vail/Eagle Airport, serving the ski resorts in Vail and Beaver Creek. Its airport code comes from its home in Eagle County."
307,ein,Vliegbasis Eindhoven,Eindhoven Netherlands,"Eindhoven Airport is also a military airbase, hosting the European Air Transport Command and the Movement Coordination Centre Europe. Its airport code comes from its home in Eindhoven."
308,elp,El Paso International Airport,El Paso TX USA,"Built in 1929 as Standard Airport, El Paso International gets its three-letter code from its home city of El Paso."
309,ema,East Midlands Airport,Nottingham UK,"Originally a Royal Air Force station, East Midlands Airport is located in Castle Donington in the East Midlands of England."
310,ens,Enschede Vliegbasis Twente,Enschede Netherlands,"Originally opened in 1931, Enschede Airport Twente no longer serves military or passenger flights. Traffic is limited to regional flying clubs for recreational use."
311,enu,Akanu Ibiam International Airport,Enugu Nigeria,"The airport is named after the late Akanu Ibiam (1906-1995), a medical doctor and statesman who hailed from Afikpo in Ebonyi State. Its code honors its home in Enugu."
312,eoh,Aeropuerto Olaya Herrera,Medellín Colombia,"Originally opened in 1932, Olaya Herrera Airport is named after and gets its three-letter code from former Colombian president, Enrique Olaya Herrera."
313,eri,Erie International Airport,Erie PA USA,"Also known as Tom Ridge Field, Erie International is a public airport serving the city of Erie, Pennsylvania."
314,esb,Esenboğa Uluslararası Havalimanı,Ankara Turkey,"Esenboğa International serves the city of Ankara, but gets its name and three-letter code from the nearby village of Esenboğa which means “Windflowing Bull.”"
315,eug,Eugene Airport,Eugene OR USA,"Eugene Airport is also known as Mahlon Sweet Field, named after Mahlon Sweet, an early supporter of the airport’s construction. Its three-letter code comes from its home in the city of Eugene."
316,eux,F. D. Roosevelt Airport,Sint Eustatius Netherlands,"Originally Golden Rock Airport, F. D. Roosevelt Airport was renamed in 1946. It serves tourists to the dormant volcano “The Quill” and gets its code from Sint Eustatius, completed with an ‘X’, often used as a filler letter."
317,evn,Zvart'nots' Mijazgayin Odanavakayan,Yerevan Armenia,"Armenia’s busiest airport get its name from its home in Zvartnots, but its airport code comes from the nearby capital city of Yerevan."
318,ewr,Liberty International Airport,Newark NJ USA,"When airport codes switched from two letters to three, the U.S. Navy reserved all codes starting with ‘N’. Newark, then, used the other letters in its name to make EWR."
319,ext,Exeter International Airport,Exeter UK,"Opened in 1937, Exeter International is located at Clyst Honiton and serves the city of Exeter in Devon."
320,eyw,Key West International Airport,Key West FL USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. Key West International, featuring one of the shortest runways in the U.S., opted for EYW."
321,eze,Aeropuerto Internacional Ministro Pistarini,Buenos Aires Argentina,"Named after former Minister of Public Works, Juan Pistarini, the Buenos Aires airport’s code comes from Ezeiza Partido where the airport is located. "
322,fae,Vága Floghavn,Sørvágur Faroe Islands Denmark,"Built on the island of Vágar by the British Army during WWII, Vágar Airport is the only airport in the Faroe Islands."
323,fao,Aeroporto Internacional de Faro,Faro Portugal,"Also known as Algarve Airport, Faro International opened in 1966. Its airport code honors its home in the city of Faro."
324,far,Hector International Airport,Fargo ND USA,"Hector International is named after Martin Hector, local businessman who donated the land on which the aiport now sits. It serves the nearby cities of Fargo and Moorhead."
325,fat,Fresno Yosemite International Airport,Fresno CA USA,"Located about 60 miles south of its namesake national park, Fresno Yosemite International Airport was renamed in 1947 from Fresno Air Terminal."
326,fca,Glacier Park International Airport,Kalispell MT USA,"Before being renamed to honor Montana’s natural beauty, Glacier Park International was known as Flathead County Airport."
327,fco,Fiumicino – Aeroporto Internazionale Leonardo da Vinci,Rome Italy,"Rome’s international airport honors the original Renaissance man, Leonardo da Vinci. It is often referred to as just Fiumicino Airport, explaining its airport code of FCO."
328,fdf,Aéroport International Martinique Aimé Césaire,Fort-de-France Martinique France,"Martinique International is named after Aimé Césaire, French author and politician. Located in the suburb of Le Lamentin, it serves the capital city of Fort-de-France."
329,fdh,Flughafen Friedrichshafen,Friedrichshafen Germany,"Established in 1915, Friedrichshafen Airport was the site of the very first Zeppelin passenger flights. Its three-letter code honors the city of Friedrichshafen."
330,fez,Fes–Saïss Airport,Fes Morocco,"Fes–Saïss Airport, or just Saïss Airport, serves the second-largest city in Morocco, Fes. It gets its airport code from the city’s alternate spelling: Fez."
331,ffa,First Flight Airport,Kill Devil Hills NC USA,"As its name suggests, First Flight Airport is the location where in 1903 the Wright Brothers first achieved heavier-than-air flight. It is also the location of the Wright Brothers National Memorial."
332,fie,Fair Isle Airport,Fair Isle UK,Fair Isle Airport features a single runway and no hangars and is often used for flight instruction.
333,fih,N'Djili International Airport,Kinshasa Democratic Republic of the Congo,"N’Djili International is named after the nearby Ndjili River. The airport was built while the Congo was under Belgian rule, so it is said its airport code comes from the word Flemish."
334,fkb,Flughafen Karlsruhe/Baden-Baden,Rheinmünster Germany,"Originally used as a military airfield, Flughafen Karlsruhe/Baden-Baden is located in the town of Rheinmünster and is a part of Baden Airpark."
335,fkl,Venango Regional Airport,Franklin PA USA,"Venango Regional is also known as Chess Lamberton Field, named after the grandson of Judge Robert Lamberton, founder of the first bank in Venango County. Its airport code comes from the nearby town of Franklin."
336,flg,Flagstaff Pulliam Airport,Flagstaff AZ USA,Flagstaff Pulliam Airport gets its three-letter code from its home in the Arizona city of Flagstaff.
337,fll,Fort Lauderdale–Hollywood International Airport,Fort Lauderdale FL USA,"Formerly Broward County Airport, Fort Lauderdale–Hollywood International serves the greater Miami area, situated between the cities of Fort Lauderdale and Hollywood, Florida."
338,fln,Aeroporto Internacional de Florianópolis–Hercílio Luz,Florianópolis SC Brazil,"Florianópolis Airport’s name honors former governor Hercílio Luz, but its airport code honors its home in Florianópolis."
339,flr,Aeroporto di Firenze-Peretola,Florence Italy,"Formally known as Amerigo Vespucci Airport after the Italian cartographer, Florence Airport is located in the suburb of Peretola."
340,flw,Aeroporto das Flores,Santa Cruz das Flores Azores Portugal,"Inaugurated in 1972, Flores Airport is located on the island of Flores, Portuguese for “Flowers.”"
341,fmm,Allgäu-Airport Memmingen,Memmingen Germany,"Originally a military airfield built in 1935, Memmingen Airport gets its three-letter code from its German translation: Flughafen Memmingen."
342,fmo,Flughafen Münster/Osnabrück,Münster Germany,"Located in the town of Greven, Flughafen Münster Osnabrück is a minor airport that serves the northern part of North Rhine-Westphalia and the surrounding areas since 1974."
343,fna,Lungi International Airport,Freetown Sierra Leone,Lungi International is located across the Sierra Leone River from Freetown in the town of Lungi. Its airport code stands for Freetown Airport.
344,fnc,Aeroporto da Madeira Cristiano Ronaldo,Funchal Portugal,"Opened in 1964, Madeira Airport is the only airport in the Portuguese archipelago Madeira in the Atlantic Ocean. It serves the capital city of Funchal."
345,fnt,Bishop International Airport,Flint MI USA,"Bishop International is named after former General Motors board member, Arthur Bishop, whose farmland later became the airport grounds. Its airport code honors its home in the city of Flint."
346,fod,Fort Dodge Regional Airport,Fort Dodge IA USA,"Fort Dodge Regional gets its three-letter airport code from its home in the city of Fort Dodge, Iowa."
347,for,Aeroporto Internacional Pinto Martins,Fortaleza CE Brazil,"Formerly Cocorote Aiport, Pinto Martins International was renamed in 1952 to honor Euclides Pinto Martins, Brazilian aviation pioneer. Its airport code honors its home in Fortaleza."
348,fra,Flughafen Frankfurt am Main,Frankfurt Germany,"Opened commercially in 1936, Germany’s busiest airport is located in the city of Frankfurt."
349,fru,Manas International Airport,Bishkek Kyrgyzstan,"Opened in 1974, Manas International is named after Manas, the epic hero of the Kyrgyz people. Its airport code comes from the capital city of Bishkek’s former name: Frunze."
350,fsc,Aéroport Figari-Sud Corse,Porto-Vecchio France,"Opened in 1975, Figari–Sud Corse Airport is located on the island of Corsica near the commune of Porto-Vecchio. It is also referred to as Figari South Corsica Airport."
351,fsd,Sioux Falls Regional Airport,Sioux Falls SD USA,"Sioux Falls Regional is also known as Joe Foss Field, named after aviator and Medal of Honor recipient Joe Foss."
352,fsp,Aéroport de Saint-Pierre,"Saint-Pierre, Saint Pierre and Miquelon France","Opened in 1999, Saint-Pierre Airport serves the city of Saint-Pierre, capital of the overseas collectivity of France, Saint Pierre and Miquelon."
353,fsz,Shizuoka Airport,Shizuoka Japan,"Located in Makinohara and Shimada, Shizuoka Airport is often called Mt. Fuji Shizuoka Airport."
354,fue,Aeropuerto de Fuerteventura,Fuerteventura Spain,"Opened in 1969 and often referred to as El Matorral Airport, Fuerteventura Airport serves the city of Puerto del Rosario and the island of Fuerteventura."
355,fuk,Fukuoka Airport,Fukuoka Japan,"Originally built in 1943 and formerly known as Mushiroda Airfield and Itazuke Air Base, Fukuoka Airport gets its three-letter code from the city of Fukuoka."
356,fun,Funafuti International Airport,Funafuti Tuvalu,"Originally built by the U.S. Navy during World War II, Funafuti International now serves the capital city of Funafuti with three flights per week."
357,fwa,Fort Wayne International Airport,Fort Wayne IN USA,"Renamed in 1991, Fort Wayne International was previously named Baer Field, after Lieutenant Paul Baer, the first flying ace in U.S. military history. Its airport code honors the city of Fort Wayne."
358,gan,Gan International Airport,Gan Maldives,"Used as a military air base until 1976, Gan International gets its airport code from its home on the island of Gan in Addu Atoll."
359,gau,Lokpriya Gopinath Bordoloi International Airport,Guwahati AS India,"Lokpriya Gopinath Bordoloi International is named after the freedom fighter and former first Chief Minister of its home state, Assam. Its airport code comes from a former spelling of Guwahati: Gauhati."
360,gbe,Sir Seretse Khama International Airport,Gaborone Botswana,"Opened in 1984, Sir Seretse Khama International is named after the first President of Botswana. Its three-letter airport code comes from the capital city of Gaborone."
361,gci,Guernsey Airport,Guernsey Channel Islands UK,"With services started in 1946, Guernsey Airport is located in the parish of Forest. It is the only airport in Guernsey in the Channel Islands."
362,gcm,Owen Roberts International Airport,George Town Cayman Islands UK,"Owen Roberts International is named after “The Commander” Owen Roberts, aviator and founder of Caribbean International Airways. Its airport code comes from its location on the island of Grand Cayman."
363,gcw,Grand Canyon West Airport,Grand Canyon AZ USA,"Located 60 miles from Peach Springs on the Hualapai Indian Reservation, Grand Canyon West Airport serves visitors to the canyon and the famous Grand Canyon Skywalk."
364,gdl,Aeropuerto Internacional de Guadalajara,Guadalajara JAL Mexico,"Guadalajara International’s ceremonial name honors Miguel Hidalgo, leader of the Mexican War of Independence. Its airport code honors its home in the city of Guadalajara."
365,gdn,Port Lotniczy Gdańsk im. Lecha Wałęsy,Gdańsk Poland,"Opened in 1974, Gdańsk Lech Walesa Airport is named after Lech Walesa, former Polish president. Its airport code honors its home city of Gdansk."
366,geg,Spokane International Airport,Spokane WA USA,"Before being renamed in 1960, Spokane International was known as Geiger Field, honoring U.S. Army aviator, Major Harold Geiger."
367,geo,Cheddi Jagan International Airport,Georgetown Guyana,"Opened in 1941 by the U.S. Army as Atkinson Field, Cheddi Jagan International was renamed in 1997 in honor of the former President. Located in the town of Timehri, it serves the capital city of Georgetown."
368,ggg,East Texas Regional Airport,Gregg County TX USA,"Host to the annual Great Texas Balloon Race, East Texas Regional gets its code from its location and previous name: Gregg County Airport."
369,ggt,Exuma International Airport,Great Exuma Bahamas,Exuma International is located on the island of Great Exuma near the city of Moss Town. Its airport code comes from the Exuma capital city of George Town.
370,gib,Gibraltar International Airport,Gibraltar UK,Gibraltar International is one of the “Most Extreme Airports” due to Winston Churchill Avenue directly intersecting the runway. Its airport code comes from its location in Gibraltar.
371,gig,Aeroporto Internacional do Galeão–Antonio Carlos Jobim,Rio de Janeiro RJ Brazil,"Formerly known as Galeão Air Force Base, Galeão International was created in 1941 on Governador Island’s Galeão Beach in Rio de Janeiro."
372,giz,King Abdullah bin Abdulaziz Airport,Jizan Saudi Arabia,"Named after the former King of Saudi Arabia, King Abdullah bin Abdulaziz is located in the city of Jizan, alternately spelled Gizan."
373,gjt,Grand Junction Regional Airport,Grand Junction CO USA,"Grand Junction Regional is also called Walker Field, named after Walter Walker, a local publisher who helped raise funding and support for the airport’s development."
374,gla,Port-adhair Eadar-nàiseanta Ghlaschu,Glasgow UK,"Known as HMS Sanderling during World War II and later as Glasgow Abbotsinch Airport, Scotland’s second busiest airport honors its home in Glasgow."
375,glo,Gloucestershire Airport,Gloucester UK,"Previously named Staverton Airport, Gloucestershire Airport originally opened in 1931 and serves the city of Gloucester."
376,glu,Gelephu Airport,Gelephu Bhutan,"Inaugurated in 2012, Gelephu Airport has been closed until a new terminal and control tower can be built. Its airport code comes from its home near the town of Gelephu in Sarpang District."
377,gmp,Gimpo International Airport,Seoul South Korea,"Gimpo International Airport, located in Gangseo-gu of Seoul, was the main airport for Seoul and South Korea until being replaced by Incheon International Airport in 2011."
378,gmu,Greenville Downtown Airport,Greenville SC USA,"Originally built in 1928 it was known as Greenville Municipal Airport, and was the origination of Lynyrd Skynyrd’s fatal flight in 1977."
379,gmz,Aeropuerto de La Gomera,La Gomera Spain,"La Gomera airport is located near the town of Playa Santiago on the island of La Gomera. The ‘Z‘ in its code could come from the province of Santa Cruz de Tenerife, but is likely a filler letter."
380,gnd,Maurice Bishop International Airport,St. George’s Grenada,"Formerly Point Salines Airport, Maurice Bishop International was renamed in 2009 in honor of Maurice Bishop, former Prime Minister of Grenada."
381,gnv,Gainesville Regional Airport,Gainesville FL USA,"Gainesville Regional, renamed in 1977, was previously known as John R. Alison Airport. Its airport code honors its home in the city of Gainesville, Florida."
382,goa,Aeroporto di Genova,Genoa Italy,"Also called Cristoforo Colombo Airport, Genoa Airport gets its three-letter code from its home city of Genoa."
383,goi,Goa International Airport,Dabolim GA India,"Goa Airport is located in the city of Dabolim and is the only airport in the state. Its airport code comes from its name, Goa International."
384,goj,Strigino Nizhny Novgorod International Airport,Nizhny Novgorod Russia,"Colloquially called Nizhny Airport, Strigino International gets its code from Nizhny Novgorod’s former name of Gorky. The ‘J’ isn’t as clear and is likely a filler letter."
385,goq,Golmud Airport,Golmud China,China’s Goldmud Airport gets its three-letter code from the city it serves: Golmud of Qinghai province.
386,got,Göteborg Landvetter Airport,Gothenburg Sweden,"Originally opened in 1977, Göteborg Landvetter Airport is Sweden’s second-largest airport and gets its airport code from the city it serves: Gothenburg."
387,gov,Gove Airport,Nhulunbuy NT Australia,"Built during World War II as RAAF Base Gove, Gove Airport serves the city of Nhulunbuy and several Aboriginal communities. It gets its name and airport code from its home on the Gove Peninsula."
388,gps,Seymour Airport,Baltra Ecuador,"Also known as Galapagos Ecological Airport, this airport gets its name from its home in the GalaPagoS Islands on the island of Baltra."
389,gpt,Gulfport–Biloxi International Airport,Gulfport–Biloxi MS USA,"Built in 1942 and named Gulfport Army Airfield, Gulfport–Biloxi International gets its three-letter code from its home in the city of Gulfport."
390,grb,Austin Straubel International Airport,Green Bay WI USA,"Austin Straubel International is named after U.S. Army Air Corps Lt. Col. Austin Straubel, the first Brown County aviator to die while in service. Its code comes from the city of Green Bay."
391,grk,Killeen–Fort Hood Regional Airport,Killeen TX USA,Killeen–Fort Hood Regional shares its location and airport code with Robert Gray Army Airfield and serves the city of Killeen.
392,gro,Aeropuerto de Girona-Costa Brava,Girona Spain,"Built in 1965 and located near the village of Vilobí d'Onyar, Girona–Costa Brava Airport gets its code from the city of Girona."
393,grr,Gerald R. Ford International Airport,Grand Rapids MI USA,"In December of 1999, Kent County International Airport was renamed to honor former President Gerald R. Ford. Its airport code honors its home in Grand Rapids."
394,gru,Aeroporto Internacional Guarulhos–Governador André Franco Montoro,São Paulo SP Brazil,"The São Paulo Airport’s name honors former governor André Franco Montoro, but its airport code honors its home in Guarulhos."
395,grw,Aeroporto de Graciosa,Graciosa Azores Portugal,"Inaugurated in 1980, Graciosa Airport is located near Santa Cruz on the island of Graciosa. Its code is completed by the letter ‘W’, often used as a filler letter."
396,grx,Aeropuerto Federico García Lorca Granada-Jaén,Granada Spain,"Named after Spanish poet Federico García Lorca, Granada Airport is located near Chauchina and serves Granada. Its code is completed by the letter ‘X’, often used as a filler letter."
397,grz,Flughafen Graz,Graz Austria,"Originally constructed in 1913, Graz Airport gets its three-letter code from its home city of Graz, Austria."
398,gso,Piedmont Triad International Airport,Greensboro NC USA,"Often called PTI, Piedmont Triad International dates back to the late 1920s and serves the Piedmont Triad area of North Carolina including the cities of Greensboro, High Point, and Winston-Salem."
