,Airport_code,Airport_name,Airport_address,Airport_description
972,tbb,Sân bay Đông Tác,Tuy Hoa Vietnam,"Dong Tac Airport’s code gets its first letter from its home city of Tuy Hoa. The other two letters come from “Bãi biển”, which translates to “the beach” and represents its close proximity to Vietnam’s coast."
973,tbp,Aeropuerto Capitán FAP Pedro Canga Rodríguez,Tumbes Peru,"Pedro Canga Rodríguez Airport gets its three-letter code from its home in the city of Tumbes, Peru."
974,tbs,Tbilisi International Airport,Tbilisi Georgia,"Formerly named Novo Alexeyevka International, Georgia’s largest airport is located in the capital city of Tbilisi."
975,tbz,Tabriz International Airport,Tabriz Iran,"Serving both military and civilian traffic, Tabriz International gets its three-letter code from its home in Tabriz."
976,tcq,Aeropuerto Internacional Coronel FAP Carlos Ciriani Santa Rosa,Tacna Peru,"Carlos Ciriani Santa Rosa International Airport gets its three-letter code from its home in the city of Tacna. It is completed by a ‘Q’, often used as a filler letter."
977,ter,Base Aérea das Lajes,Lajes Azores Portugal,"Lajes Field (or Lajes Air Base) is a multi-use airfield, serving primarily military aircrafts. Its airport code honors its home on the island of Terceira."
978,tfn,Aeropuerto de Tenerife Norte,Tenerife Spain,"Formerly known as Los Rodeos Airport, Tenerife North Airport serves the island of Tenerife. Along with Tenerife South, it brings the most passenger traffic of all the Canary Islands."
979,tfs,Aeropuerto de Tenerife Sur Reina Sofía,Tenerife Spain,Tenerife South Airport was built to accommodate heavy tourist traffic and to relieve Tenerife North which was often covered in trade winds. It opened in 1978 and was dedicated to Queen Sofía of Spain.
980,tgd,Podgorica Airport,Podgorica Montenegro,"The city of Podgorica was known as Titograd from 1946 to 1992, after the Yugoslav leader Josip Broz Tito."
981,tgi,Aeropuerto Tingo María,Tingo María Peru,Tingo María Airport’s three-letter code is made of rearranged letters from its home city of Tingo María.
982,tgm,Aeroportul Transilvania Târgu Mureș,Târgu Mureș Romania,"Opened in 1936, Transilvania Târgu Mureș Airport, often called just Transilvania Airport, is located in the village of Vidrasău and serves the city of Târgu Mureș."
983,tgu,Aeropuerto Internacional Toncontín,Tegucigalpa Honduras,"A notoriously difficult airport for landing, Toncontín opened in 1933 and gets its three-letter code from the city in which it is located, Tegucigalpa, the capital of Honduras."
984,thr,Mehrabad International Airport,Tehran Iran,"Originally opened as an airfield in 1938, Mehrabad International was the primary airport for the city of Tehran until 2007."
985,tia,Tirana International Airport Nënë Tereza,Tirana Albania,"Often called Rinas International, Albania’s only international airport is named after Mother Teresa. Its airport code honors the nearby city of Tirana."
986,tif,Ta'if Regional Airport,Ta'if Saudi Arabia,"Despite its name, Ta'if Regional does serve international flights. Its airport code honors its home in Ta'if."
987,tij,Aeropuerto Internacional de Tijuana,Tijuana Mexico,"Opened in 1951 and sometimes referred to as General Abelardo L. Rodríguez International, its airport code comes from the city of Tijuana."
988,tip,Tripoli International Airport,Tripoli Libya,"Formerly Castel Benito airport, Tripoli International was mostly destroyed during the 2014 Libyan Civil War. Traffic has since been diverted to Mitiga International."
989,tjm,Roshchino International Airport,Tyumen Russia,"Built in 1968 and reconstructed in 1998, Roshchino International gets its airport code from its home city of Tyumen. The ‘J’ comes from the pronunciation of Tyumen, which sounds like Tjumen."
990,tkk,Chuuk International Airport,Weno Micronesia,"Chuuk International is located on the island of Weno, but gets its airport code from the state of Chuuk, formerly known as Truk. The code is completed by another ‘K’ as a filler letter."
991,tll,Lennart Meri Tallinna lennujaam,Tallinn Estonia,"Lennart Meri Airport is named after the second Estonian President, Lennart Meri. Its airport code honors its home in the city of Tallinn."
992,tls,Aéroport de Toulouse–Blagnac,Toulouse France,Toulouse–Blagnac Airport is located in the suburb of Blagnac and gets it airport code from the city of Toulouse.
993,tlv,Ben Gurion Airport,Tel Aviv Israel,"Renamed in 1973 to honor Israel’s first prime minister, Ben Gurion Airport is often called by its Hebrew acronym, “Natbag.” Its airport code comes from its proximity to the city of Tel Aviv."
994,tms,Aeroporto Internacional de São Tomé,São Tomé São Tomé and Príncipe,"São Tomé International is a single runway airport and gets its airport code from its home in São Tomé, São Tomé and Príncipe."
995,tna,Jinan Yaoqiang International Airport,Jinan China,"Jinan Yaoqiang International is the airport serving Jinan (formerly Romanized as Tsinan), the capital of Shandong Province, China."
996,tng,Tangier Ibn Battouta Airport,Tangier Morocco,"Tangier Ibn Battouta Airport is named after Ibn Battouta, Moroccan explorer and scholar. Its airport code honors its home in the city of Tangier."
997,tnm,Aeropuerto Teniente Rodolfo Marsh,King George Island Antarctica,"Sometimes called Villa Las Estrellas Airport, Teniente R. Marsh Airport is the only airport in Antarctica with an IATA designation."
998,tnr,Ivato International Airport,Antananarivo Madagascar,Ivato International gets its three-letter airport code from its home in the capital city of Antananarivo.
999,tnt,Dade-Collier Training and Transition Airport,Miami FL USA,"Originally planned as the largest airport in the world with six runways servicing supersonic jets, Everglades Jetport’s construction was stopped due to environmental concerns. Its name was changed to Dade-Collier Training and Transition Airport."
1000,tol,Toledo Express Airport,Toledo OH USA,"First opened in 1955, Toledo Express Airport is located in the townships of Swanton and Monclova. Its airport code honors the city it serves: Toledo."
1001,tos,"Tromsø lufthavn, Langnes",Tromsø Norway,"Opened in 1964, Tromsø Airport is located on the western shore of the island of Tromsøya."
1002,tpa,Tampa International Airport,Tampa FL USA,"Renamed in 1950, Tampa International was once Drew Field Municipal, named after land developer John H. Drew. Its airport code honors its home in the city of Tampa."
1003,tpe,Taiwan Taoyuan International Airport,Taipei Taiwan,"Previously named Chiang Kai-shek International after the former president, Taiwan’s largest airport is actually located in Taoyuan City. Its airport code honors the city it serves, Taipei."
1004,tpp,Aeropuerto Cadete FAP Guillermo del Castillo Paredes,Tarapoto Peru,"Guillermo del Castillo Paredes Airport gets its three-letter code from its home city of Tarapoto, Peru."
1005,trd,"Trondheim lufthavn, Værnes",Trondheim Norway,"Located in the town of Værnes, Trondheim Airport gets its three-letter code from the city it serves, Trondheim."
1006,tre,Port-adhair Thirioah,Tiree UK,Tiree Airport is located just outside of Balemartine and gets its airport code from the island of Tiree.
1007,trf,"Sandefjord lufthavn, Torp",Sandefjord Norway,"Opened in 1956, Sandefjord Airport is located in Torp and is often called Torp Flyplass."
1008,tri,Tri-Cities Regional Airport,Blountville TN USA,"Tri-Cities Regional’s airport code honors the Tri-Cities area of NE Tennessee and SW Virginia, including the cities of Bristol, Kingsport, and Johnson City."
1009,trn,Aeroporto di Torino Sandro Pertini,Turin Italy,"Built in 1953 at the site of a former World War II base, Turin Airport is now named after former Italian President Sandro Pertini. Its airport code honors its home in the city of Turin."
1010,trs,Aeroporto di Trieste–Friuli Venezia Giulia,Trieste Italy,"Originally Ronchi dei Legionari Airfield in the 1930s, Trieste – Friuli Venezia Giulia Airport serves the city of Trieste."
1011,tru,Aeropuerto Internacional Capitán FAP Carlos Martínez de Pinillos,Trujillo Peru,"Carlos Martínez de Pinillos International serves the beachtown community of Huanchaco and Peru’s third largest city, Trujillo."
1012,trv,Trivandrum International Airport,Thiruvananthapuram KL India,"Trivandrum International was upgraded to an international airport in 1991. Located in Thiruvananthapuram, its name and code comes from the city’s short name, Trivandrum."
